neg,neu,pos,compound,sentiment
0.0,1.0,0.0,0.0,Neutral
0.0,0.876,0.124,0.9201,Positive
0.0,0.891,0.109,0.296,Positive
0.038,0.812,0.15,0.9545,Positive
0.0,0.896,0.104,0.5423,Positive
0.0,0.832,0.168,0.9764,Positive
0.0,0.813,0.187,0.9799,Positive
0.038,0.795,0.167,0.796,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.8,0.2,0.25,Positive
0.051,0.888,0.061,0.5067,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.933,0.067,0.9239,Positive
0.0,0.818,0.182,0.9723,Positive
0.0,0.638,0.362,0.34,Positive
0.0,0.907,0.093,0.5106,Positive
0.0,0.928,0.072,0.6249,Positive
0.038,0.855,0.108,0.8074,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.891,0.109,0.7783,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.859,0.141,0.7845,Positive
0.036,0.907,0.058,0.4767,Positive
0.0,0.764,0.236,0.9595,Positive
0.0,1.0,0.0,0.0,Neutral
0.029,0.776,0.195,0.9741,Positive
0.059,0.849,0.091,0.6208,Positive
0.0,0.859,0.141,0.7506,Positive
0.189,0.811,0.0,-0.5994,Negative
0.0,0.785,0.215,0.8519,Positive
0.0,0.794,0.206,0.8442,Positive
0.0,0.898,0.102,0.1779,Positive
0.023,0.836,0.141,0.9744,Positive
0.0,0.862,0.138,0.9974,Positive
0.122,0.766,0.113,-0.1531,Negative
0.017,0.871,0.112,0.9001,Positive
0.0,0.888,0.112,0.4404,Positive
0.02,0.883,0.097,0.6597,Positive
0.0,0.886,0.114,0.8957,Positive
0.051,0.879,0.07,0.1027,Positive
0.0,0.775,0.225,0.969,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.825,0.175,0.9056,Positive
0.04,0.839,0.121,0.9337,Positive
0.0,0.806,0.194,0.802,Positive
0.0,0.778,0.222,0.969,Positive
0.028,0.943,0.029,0.0258,Neutral
0.0,1.0,0.0,0.0,Neutral
0.0,0.959,0.041,0.34,Positive
0.0,0.894,0.106,0.6908,Positive
0.017,0.841,0.142,0.9287,Positive
0.067,0.783,0.15,0.9576,Positive
0.0,0.892,0.108,0.9231,Positive
0.0,0.82,0.18,0.8996,Positive
0.0,0.66,0.34,0.8979,Positive
0.067,0.86,0.072,0.4162,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.006,0.872,0.121,0.9884,Positive
0.0,0.755,0.245,0.9926,Positive
0.0,0.886,0.114,0.7096,Positive
0.0,0.903,0.097,0.8555,Positive
0.0,0.646,0.354,0.9875,Positive
0.0,0.774,0.226,0.9873,Positive
0.0,1.0,0.0,0.0,Neutral
0.028,0.882,0.09,0.8655,Positive
0.059,0.72,0.222,0.8779,Positive
0.0,1.0,0.0,0.0,Neutral
0.013,0.791,0.196,0.9902,Positive
0.084,0.668,0.249,0.9969,Positive
0.0,0.83,0.17,0.4767,Positive
0.05,0.832,0.118,0.8999,Positive
0.0,1.0,0.0,0.0,Neutral
0.026,0.917,0.056,0.8781,Positive
0.069,0.737,0.194,0.9909,Positive
0.0,1.0,0.0,0.0,Neutral
0.05,0.731,0.218,0.936,Positive
0.0,0.881,0.119,0.5994,Positive
0.0,0.893,0.107,0.2023,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.656,0.344,0.9118,Positive
0.0,0.89,0.11,0.6908,Positive
0.0,0.954,0.046,0.1779,Positive
0.037,0.888,0.075,0.743,Positive
0.0,0.839,0.161,0.3182,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,0.741,0.259,0.2732,Positive
0.053,0.75,0.197,0.7125,Positive
0.018,0.784,0.198,0.9786,Positive
0.0,0.736,0.264,0.9975,Positive
0.0,0.931,0.069,0.1779,Positive
0.0,1.0,0.0,0.0,Neutral
0.073,0.822,0.105,0.9152,Positive
0.0,1.0,0.0,0.0,Neutral
0.0,1.0,0.0,0.0,Neutral
0.006,0.846,0.148,0.9924,Positive
0.019,0.837,0.144,0.9796,Positive
0.023,0.824,0.153,0.9971,Positive
0.0,0.883,0.117,0.7717,Positive
0.0,0.934,0.066,0.7964,Positive
0.0,0.847,0.153,0.959,Positive
